Source_wallet,Dest_wallet,timestamp,amount,token_type
0xdb3cf17bd7284d9a9eb4db508633a39c,0x64ea66b702e240969702ebe056cc8ef9,2024-01-01T00:10:40.570475,1.896933,USDC
0xe4763e4bcc444e5fb9131620dadae3c3,0x0a0906144f174896acd4275ff037af69,2024-01-01T01:34:45.892752,11.898668,ETH
0xc2e1a9a2d9be4b959192916fb13fb9eb,0x813eaf451fed462fbb310f8a870384a0,2024-01-01T04:05:05.460730,49.27453,USDT
0xe593fe33c5b7463986f0bdfa7d6cefca,0xa6b8be4a69ae4055844997223b1ac7e1,2024-01-01T09:50:17.377919,1.764361,USDT
0x535b74c39a3c4cebb5479f3b1b45ed32,0x0093aa0060564d04aa18eacb4d2c214e,2024-01-01T11:20:29.138596,43.455837,ETH
0xb7fdf9593089481fba026c6d1032c2e3,0xd0f30b3d0a4a4b74a53cbc9cde3009fd,2024-01-01T11:47:35.442836,9.954856,USDC
0x74741c8ef7b24a6a89b7ea641217fa58,0x8dd4d7022fde4f01b7ef969fe97b9986,2024-01-01T12:40:15.064416,2.827419,USDT
0xdb3cf17bd7284d9a9eb4db508633a39c,0x6bd884f83ba74b8d90fef5349a127be6,2024-01-01T14:16:54.120128,14.767582,USDT
0x91330821a7254b66a636815228841bad,0x1f0122da2dde4b959e5be7aaaabc8d4f,2024-01-01T15:24:27.822049,48.215252,BTC
0x8a4ba3da309c468db7b50f1a54507dbf,0xb9ce2056444c4770aa4d0b709d4f5de8,2024-01-01T16:15:54.454818,0.730238,DAI
0x7975d203a3574da5bcff12a946ce7894,0xab99c612211d4cf2a7514498936e4e90,2024-01-01T17:22:21.799769,21.242361,DAI
0xf2ca60bb89f14e248be089da89ad9df0,0xeaf8a6ec92b6400b83838e7ecddc42a8,2024-01-01T18:55:26.745654,16.719979,USDT
0xe9fcfde22b59432d98122c171b1ace22,0x6ef5fcea46544a76891bfbc958f36ef0,2024-01-01T19:34:48.059565,24.313128,DAI
0x0cc2baad499147088387294b9eafe603,0x02fe9415c39743df82284736057a0019,2024-01-01T21:07:19.539328,35.643217,USDC
0xc063a1ffc15f4535b510be6de709e03b,0x7cc1d6ccd11647c2997aa5ffbd6a72f1,2024-01-01T21:24:30.877134,43.001985,USDC
0xc2e1a9a2d9be4b959192916fb13fb9eb,0x60fb16dc789f433fb8528bb3fac22443,2024-01-01T22:06:12.626725,49.267186,ETH
0xbebd122792804058b07871515cedcfc1,0xe37f4e3d866240beaf7079efc9004bd2,2024-01-01T22:42:50.429578,8.008085,DAI
0x0974dbe2c448479390a83ee12471fc0b,0x615df326aca3475599995288aa36952e,2024-01-02T00:09:11.609292,2.681741,DAI
0x06f2273ae21a4e2985e74e8f403cebb8,0xe64c2d191867472a9561879b08000c5b,2024-01-02T00:30:34.013734,0.349438,USDC
0x96b6b05f346140ffbedaf5b8128bb570,0x525457c705fb47afbdb76a0e8fddb341,2024-01-02T00:40:46.519994,33.186302,BTC
0xd81fc001abbe4fcf832edc9dcebfb376,0x03357c48989a4f90a03bec1629cea380,2024-01-02T01:49:34.697265,16.659189,ETH
